# time joint1 joint2 joint3 joint4 joint5 joint6 joint7 drive_joint left_finger_joint left_inner_knuckle_joint right_outer_knuckle_joint right_finger_joint right_inner_knuckle_joint
0.155000 -0.00660425 -0.11129749 -0.00604207 -0.02771666 0.00233366 0.00377604 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.160000 -0.00681893 -0.11464678 -0.00622030 -0.02847357 0.00240596 0.00385844 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.165000 -0.00703400 -0.11798789 -0.00639780 -0.02922384 0.00247816 0.00393863 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.170000 -0.00724946 -0.12132077 -0.00657456 -0.02996748 0.00255027 0.00401659 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.175000 -0.00746529 -0.12464541 -0.00675058 -0.03070449 0.00262228 0.00409233 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.180000 -0.00768149 -0.12796177 -0.00692585 -0.03143487 0.00269419 0.00416583 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.185000 -0.00789804 -0.13126982 -0.00710036 -0.03215862 0.00276600 0.00423710 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.190000 -0.00811493 -0.13456953 -0.00727410 -0.03287575 0.00283769 0.00430612 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.195000 -0.00833215 -0.13786089 -0.00744708 -0.03358626 0.00290928 0.00437289 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.200000 -0.00854970 -0.14114387 -0.00761928 -0.03429014 0.00298074 0.00443742 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.205000 -0.00876756 -0.14441843 -0.00779070 -0.03498741 0.00305208 0.00449969 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.210000 -0.00898572 -0.14768456 -0.00796134 -0.03567807 0.00312330 0.00455969 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.215000 -0.00920417 -0.15094222 -0.00813120 -0.03636211 0.00319439 0.00461743 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.220000 -0.00942290 -0.15419141 -0.00830025 -0.03703955 0.00326534 0.00467291 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.225000 -0.00964190 -0.15743208 -0.00846851 -0.03771039 0.00333616 0.00472611 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.230000 -0.00986116 -0.16066423 -0.00863597 -0.03837463 0.00340684 0.00477703 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.235000 -0.01008066 -0.16388782 -0.00880262 -0.03903227 0.00347737 0.00482567 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.240000 -0.01030041 -0.16710284 -0.00896847 -0.03968333 0.00354776 0.00487203 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.245000 -0.01052037 -0.17030927 -0.00913349 -0.04032780 0.00361799 0.00491609 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.250000 -0.01074055 -0.17350708 -0.00929771 -0.04096569 0.00368807 0.00495787 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.255000 -0.01096094 -0.17669625 -0.00946110 -0.04159701 0.00375799 0.00499735 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.260000 -0.01118152 -0.17987677 -0.00962367 -0.04222176 0.00382775 0.00503452 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.265000 -0.01140228 -0.18304861 -0.00978541 -0.04283994 0.00389735 0.00506940 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.270000 -0.01162322 -0.18621177 -0.00994632 -0.04345157 0.00396678 0.00510196 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.275000 -0.01184431 -0.18936621 -0.01010640 -0.04405665 0.00403604 0.00513222 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.280000 -0.01206556 -0.19251192 -0.01026564 -0.04465519 0.00410512 0.00516016 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.285000 -0.01228694 -0.19564890 -0.01042405 -0.04524718 0.00417403 0.00518578 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.290000 -0.01250846 -0.19877711 -0.01058162 -0.04583265 0.00424276 0.00520908 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.295000 -0.01273009 -0.20189654 -0.01073835 -0.04641159 0.00431130 0.00523006 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.300000 -0.01295183 -0.20500718 -0.01089424 -0.04698401 0.00437966 0.00524871 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.305000 -0.01317367 -0.20810901 -0.01104928 -0.04754993 0.00444783 0.00526503 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.310000 -0.01339560 -0.21120203 -0.01120347 -0.04810934 0.00451580 0.00527902 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.315000 -0.01361760 -0.21428620 -0.01135682 -0.04866226 0.00458359 0.00529067 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.320000 -0.01383967 -0.21736153 -0.01150932 -0.04920870 0.00465117 0.00529998 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.325000 -0.01406179 -0.22042800 -0.01166098 -0.04974865 0.00471856 0.00530696 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.330000 -0.01428396 -0.22348559 -0.01181178 -0.05028214 0.00478574 0.00531158 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
