# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.215000 -0.00510360 -0.48102088 -0.00693838 -2.07355202 0.00067683 3.04576879 0.74100000 0.04000000 0.04000000
0.220000 -0.00521545 -0.47898324 -0.00709025 -2.07264037 0.00069174 3.04598765 0.74100000 0.04000000 0.04000000
0.225000 -0.00532713 -0.47694401 -0.00724187 -2.07172501 0.00070662 3.04620734 0.74100000 0.04000000 0.04000000
0.230000 -0.00543864 -0.47490318 -0.00739324 -2.07080594 0.00072148 3.04642785 0.74100000 0.04000000 0.04000000
0.235000 -0.00554998 -0.47286077 -0.00754434 -2.06988316 0.00073632 3.04664919 0.74100000 0.04000000 0.04000000
0.240000 -0.00566114 -0.47081677 -0.00769519 -2.06895667 0.00075114 3.04687135 0.74100000 0.04000000 0.04000000
0.245000 -0.00577214 -0.46877120 -0.00784578 -2.06802648 0.00076594 3.04709434 0.74100000 0.04000000 0.04000000
0.250000 -0.00588296 -0.46672406 -0.00799611 -2.06709257 0.00078071 3.04731813 0.74100000 0.04000000 0.04000000
0.255000 -0.00599362 -0.46467536 -0.00814618 -2.06615496 0.00079547 3.04754274 0.74100000 0.04000000 0.04000000
0.260000 -0.00610411 -0.46262510 -0.00829600 -2.06521363 0.00081020 3.04776817 0.74100000 0.04000000 0.04000000
0.265000 -0.00621443 -0.46057328 -0.00844556 -2.06426860 0.00082492 3.04799440 0.74100000 0.04000000 0.04000000
0.270000 -0.00632459 -0.45851992 -0.00859486 -2.06331985 0.00083961 3.04822143 0.74100000 0.04000000 0.04000000
0.275000 -0.00643458 -0.45646502 -0.00874391 -2.06236739 0.00085428 3.04844927 0.74100000 0.04000000 0.04000000
0.280000 -0.00654441 -0.45440858 -0.00889269 -2.06141121 0.00086893 3.04867791 0.74100000 0.04000000 0.04000000
0.285000 -0.00665407 -0.45235062 -0.00904122 -2.06045133 0.00088356 3.04890734 0.74100000 0.04000000 0.04000000
